trial,score,state,duration_s,k,eps,tau,attr_fiedler,attr_mrr_proxy,attr_n_probe,attr_n_sample,attr_tau,attr_var_lambda
7,1.96958189,COMPLETE,11.00439700,30,1.99158206,0.59856644,0.62416998,2.67102200,50.00000000,5000.00000000,0.59856600,0.02908386
9,1.88702568,COMPLETE,10.35669500,25,0.96397732,0.68723903,0.55883620,2.56479200,50.00000000,5000.00000000,0.68723900,0.02925134
3,1.77339457,COMPLETE,10.13767300,33,1.42862174,0.80946090,0.56388099,2.40156900,50.00000000,5000.00000000,0.80946100,0.02903362
5,1.50966701,COMPLETE,9.84963400,10,1.44815024,0.77769942,0.87942344,1.97228000,50.00000000,5000.00000000,0.77769900,0.02920065
0,,PRUNED,13.76050400,15,1.00000000,0.50000000,,,,,,
1,,PRUNED,9.79631800,18,0.82729800,0.52722848,,,,,,
2,,PRUNED,9.36704300,22,0.50600057,0.98198300,,,,,,
4,,PRUNED,10.17001200,4,0.86042662,0.65478054,,,,,,
6,,PRUNED,9.20733100,38,0.78471902,0.56682952,,,,,,
8,,PRUNED,8.38287400,9,0.63762012,0.51501942,,,,,,
10,,PRUNED,39.58697700,32,0.68174851,0.47465726,,,,,,
11,,PRUNED,9.93471100,32,0.68200140,0.47506432,,,,,,
12,,PRUNED,9.33407300,32,0.68169127,0.47476617,,,,,,
13,,PRUNED,8.85149800,32,0.68199701,0.47482551,,,,,,
14,,PRUNED,8.96570900,32,0.68246552,0.47472755,,,,,,
15,,PRUNED,48.54064200,32,0.68174851,0.47465726,,,,,,
16,,PRUNED,24.38608700,32,0.68200140,0.47506432,,,,,,
17,,PRUNED,25.66043400,32,0.68169127,0.47476617,,,,,,
18,,PRUNED,27.16288400,32,0.68199701,0.47482551,,,,,,
19,,PRUNED,25.92180400,32,0.68246552,0.47472755,,,,,,
20,,PRUNED,27.63366900,32,0.68258099,0.47488232,,,,,,
21,,PRUNED,25.31383800,32,0.68271453,0.47483410,,,,,,
22,,PRUNED,29.10115200,32,0.68220609,0.47486302,,,,,,
23,,PRUNED,26.59877200,32,0.68317899,0.47477004,,,,,,
24,,PRUNED,27.07513600,32,0.68211823,0.47486612,,,,,,
25,,PRUNED,28.18182000,32,0.68217679,0.47486373,,,,,,
26,,PRUNED,27.80011800,32,0.68175130,0.47466008,,,,,,
27,,PRUNED,28.64757000,32,0.68168824,0.47476692,,,,,,
28,,PRUNED,28.16923300,32,0.68256516,0.47488345,,,,,,
29,,PRUNED,29.12539800,32,0.68231295,0.47473085,,,,,,
